Universal ID,Name,Visits,Average Time,SP,ENG,DENG,B,ST,DT,FA,BG
30,Easter Island statue,10,242,0,4,2,0,3,0,0,0
32,Cradle to Grave,5,69,0,1,0,0,0,0,0,0
48,Scarab,9,116,1,2,1,1,0,0,0,1
49,Bronze figure of seated cat,6,90,0,0,0,1,1,0,0,0
50,Bust of Ramesses the Great,15,258,1,5,1,0,3,4,0,1
51,Rosetta stone,15,189,1,1,0,5,3,2,0,0
58,Lion hunt reliefs,8,221,1,2,0,2,5,2,0,0
60,Winged bull,14,135,1,1,0,2,5,0,0,0
71,Nereid monument,10,170,0,1,0,0,0,1,0,0
72,Lely's Venus,6,107,0,0,0,0,0,1,0,0
102,Predynastic Egyptian burial,7,332,1,0,1,1,3,0,0,0
115,Game of Ur,5,199,0,0,1,1,0,0,0,0
154,Sarcophagus of Nectanebo II,5,104,0,1,0,1,1,0,0,1
157,Tactile model of Parthenon,7,176,0,2,0,1,2,1,0,0
158,Elgin Marbles,16,332,1,2,1,0,3,0,0,1
159,East Pediment,13,272,1,3,1,2,0,2,0,0
160,Reading Room,6,139,2,2,0,0,0,0,0,0
165,Amitabha Buddha,6,85,1,0,0,0,1,0,0,0
172,Metopes,5,116,1,0,0,0,1,1,0,0
