Universal ID,Audio Tour ID,Name,Room,Visits,Average Time,Tags,Comments,Average Position,Floor
8,126,Sloane astrolabe,1,1,72,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}",[],"[1596, 1181]",1
9,127,Piranesi Vase,1,2,82,"{'sp': 0, 'eng': 1, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}",['photos'],"[1610, 1150]",1
16,141,Serpent mosaic,27,1,233,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 1, 'st': 1, 'dt': 0, 'fa': 0, 'bg': 0}",[],"[1612, 774]",1
17,142,Mosaic mask,27,1,168,"{'sp': 1, 'eng': 0, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}",['intended'],"[840, 1162]",1
29,161,Crystal skull,24,3,63,"{'sp': 1, 'eng': 1, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}","['pictures, people hanging back to look and being left behind']","[1294, 862]",1
30,162,Easter Island statue,24,10,242,"{'sp': 0, 'eng': 4, 'deng': 2, 'b': 0, 'st': 3, 'dt': 0, 'fa': 0, 'bg': 0}","['Backing people in corner out of the way to explain', 'couple of people on phones, engaged expressions and some nodding along', 'group standing back by stairs', 'Standing back from Moa; some pics', 'pictures, very out of way of path around item, people looking away/on phones', 'photos', 'moved from back to front of item', 'off to side of Moai']","[1349, 825]",1
32,165,Cradle to Grave,24,5,69,"{'sp': 0, 'eng': 1, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}","[""members asking Q's""]","[1326, 714]",1
46,186,Benin bronzes,25,2,265,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 0, 'st': 1, 'dt': 1, 'fa': 0, 'bg': 0}",['one member waving over another who is trying to find the group'],"[863, 1024]",3
47,192,House Frontal Pole Haida,4,3,89,"{'sp': 0, 'eng': 1, 'deng': 0, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}","['Introducing another guide/aide', 'pictures']","[1480, 950]",1
48,201,Scarab,4,9,116,"{'sp': 1, 'eng': 2, 'deng': 1, 'b': 1, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 1}","['put people in corner again, one group member touched sarcophagus', 'one person went to take pcitures of other objects around', ""Some school groups trying to look but can't"", 'photos, one member sitting aside', 'talking, nodding']","[1084, 900]",1
49,202,Bronze figure of seated cat,4,6,90,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 1, 'st': 1, 'dt': 0, 'fa': 0, 'bg': 0}",[],"[1102, 1024]",1
50,203,Bust of Ramesses the Great,4,15,258,"{'sp': 1, 'eng': 5, 'deng': 1, 'b': 0, 'st': 3, 'dt': 4, 'fa': 0, 'bg': 1}","['Lots of pictures, someone looking around rest of room, only one of two paths could be used', 'out of way because other group is in front of item, ipad used to show picture', 'ipad use', 'touching artifact; phones', 'in the way around one side of the sarcophagus', 'earlier guide talking routing & timing (I think) with current guide', ""group is noticeably easier to follow than yesterday's group due to less traffic"", 'photos', 'ipad used', 'Some members sitting down', 'photos', 'for last 2 items they have been clogging side of room', 'photos', 'iPad usage', 'pics; guide is animated and gesturing']","[1086, 1065]",1
51,204,Rosetta stone,4,15,189,"{'sp': 1, 'eng': 1, 'deng': 0, 'b': 5, 'st': 3, 'dt': 2, 'fa': 0, 'bg': 0}","['told everyone to look at object individually', 'in front of stone', 'guide is animated—talking to younger members; standing few paces back from RS; walks couple of paces to talk more', 'rosetta stone was very busy', 'tight squeeze through doorway; many reaching up with phones; cleared up after a bit, though; passing out maps? explaining other part of exhibit right by RS', 'right in front of stone', 'standing by rosetta stone', 'group trying to see stone from front, being blocked by  crowd', 'up in front of stone, pictures', 'part of large amount of people in front of stone', 'off in unoccupied corner of room', 'group bunched at corner of RS room']","[1095, 1148]",1
52,205,Head and Arm of a Statue of Amenhotep III,4,3,308,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 0, 'st': 0, 'dt': 2, 'fa': 0, 'bg': 0}","['standing in part of path', 'some sitting on bench', 'in path']","[1071, 1278]",1
53,206,False door of Ptahshepses,4,2,166,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 2, 'st': 0, 'dt': 1, 'fa': 0, 'bg': 0}",[],"[1080, 1348]",1
54,207,List of Kings,4,1,138,"{'sp': 0, 'eng': 0, 'deng': 1, 'b': 0, 'st': 0, 'dt': 0, 'fa': 0, 'bg': 0}",['one kid messing with their parent'],"[1106, 1406]",1
56,212,Balawat gates,6,1,185,"{'sp': 0, 'eng': 0, 'deng': 0, 'b': 0, 'st': 1, 'dt': 0, 'fa': 0, 'bg': 0}",['in the way of people entering room 7'],"[1014, 1499]",1
