,,,,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,,,,
1,1/29/2025,10:05,20,Chinese,East Asia,15-60,1:53:17,"Yes, with headphones",22,24,,,,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,,,,
1,,0:01:06,T,,,,,,,,,,,0:01:06,
2,,0:06:59,D,North Entrance Restrooms,1429,605,1,FA,Women's restroom line,,,,,0:06:59,
3,,0:00:17,T,,,,,,,,,,,0:00:17,
4,,0:01:19,D,165,1299,757,1,,,,,,,0:01:19,
5,,0:00:17,T,,,,,,,,,,,0:00:17,
6,,0:06:28,D,162,1391,826,1,,Backing people in corner out of the way to explain,,,,,0:06:28,
7,,0:00:04,T,,,,,,,,,,,0:00:04,
8,,0:01:58,D,162,1342,778,1,Deng Eng,"couple of people on phones, engaged expressions and some nodding along",,,,,0:01:58,
9,,0:00:17,T,,,,,,,,,,,0:00:17,
10,,0:00:15,T,,,,,DT,Stood in front of door for a moment,,,,,0:00:15,
11,,0:00:29,T,,,,,,,,,,,0:00:29,
12,,0:06:06,D,(Great Court),1197,889,1,Eng,lots of pictures,,,,,0:06:06,
13,,0:00:45,T,,,,,,,,,,,0:00:45,
14,,0:01:24,D,201,1107,896,1,BG,"put people in corner again, one group member touched sarcophagus",,,,,0:01:24,
15,,0:00:00,D,,,,,,,,,,,0:00:00,
16,,0:00:40,D,Palm-Leaf Column of Ramses II,1107,896,1,,,,,,,0:00:40,
17,,0:00:31,T,,,,,,,,,,,0:00:31,
18,,0:00:54,D,Sarcophagus of Nectanebo II,1113,999,1,BG,leaning against to look/get a picture of inside,,,,,0:00:54,
19,,0:00:05,T,,,,,,,,,,,0:00:05,
20,,0:03:05,D,202,1112,1034,1,B ST,,,,,,0:03:05,
21,,0:00:07,T,,,,,,,,,,,0:00:07,
22,,0:00:04,T,,,,,,,,,,,0:00:04,
23,,0:00:36,T,,,,,,,,,,,0:05:46,
24,,0:00:50,D,203,1115,1067,1,Eng SP DT,"Lots of pictures, someone looking around rest of room, only one of two paths could be used",,,,,0:00:50,
25,,0:00:00,D,,,,,,,,,,,0:00:00,
26,,0:02:46,D,,,,,,,,,,,0:02:46,
27,,0:00:20,T,,,,,,,,,,,0:00:20,
28,,0:01:11,D,204,1084,1136,1,,told everyone to look at object individually,,,,,0:01:11,
29,,0:00:34,T,,,,,,,,,,,0:00:34,
30,,0:03:28,D,217 (Panels 8-9),1001,1033,1,Eng,"engaged expression, following hand motions",,,,,0:03:28,
31,,0:00:32,T,,,,,,,,,,,0:00:32,
32,,0:02:00,D,Decorations of Assyrian Palaces,997,1112,1,Eng,pictures,,,,,0:02:00,
33,,0:00:00,D,,,,,,,,,,,0:00:00,
34,,0:01:12,D,,,,,,,,,,,0:01:12,
35,,0:00:11,T,,,,,,,,,,,0:00:11,
